year,varietal,seed_type
2024,Hakurei,(F1) Turnips Seed
2025,Summer Lovin,(F1) Sunflower Seed
2026,Rover,(F1) Radish Seed
2024,Albion,(F1) Parsnips Seed
2026,Redbor,(F1) Kale Seed
2024,Redbor,(F1) Kale Seed
2025,Sashimi,(F1) Cucumber Seed
2026,Red Ace,(F1) Beets Seed
2023,Miyashige,Daikon
2024,Miyashige,Daikon
2024,Finocchio,Fennel bulb
2022,Bronze,Fennel herb
2026,Crystal Palace,Lobelia
2024,Cascade of Color,Lobelia
2025,Cascade of Color,Lobelia
