year,bed_location,bed_name,plant_name,season,plant_category
2024,Lower,Sunflower,Tomatoes,Summer,Vegetables
2025,Lower,Five,Tomatoes,Summer,Vegetables
2025,Lower,Sunflower,Tomatoes,Summer,Vegetables
2026,Lower,Eight,Tomatoes,Summer,Vegetables
2026,Lower,Seven,Tomatoes,Summer,Vegetables
2026,Lower,Sunflower,Tomatoes,Summer,Vegetables
2019,Lower,Eight,Turnips,Summer,Root vegetables
2020,Lower,Two,Turnips,Summer,Root vegetables
2022,Lower,Five,Turnips,Summer,Root vegetables
2023,Lower,One,Turnips,Summer,Root vegetables
2023,Lower,Sunflower,Turnips,Spring,Root vegetables
2024,Lower,Four,Turnips,Spring,Root vegetables
2025,Lower,One,Turnips,Spring,Root vegetables
2026,Lower,Two,Turnips,Spring,Root vegetables
2019,Lower,Sunflower,Zinnia,Summer,Flowers
2019,Upper,Apple Terrace 1,Zinnia,Summer,Flowers
2023,Upper,Asparagus,Zinnia,Summer,Flowers
2024,Upper,Asparagus,Zinnia,Summer,Flowers
2025,Lower,One,Zinnia,Summer,Flowers
2025,Upper,Apple Terrace 2,Zinnia,Summer,Flowers
2026,Lower,Eight,Zinnia,Summer,Flowers
2026,Lower,Five,Zinnia,Summer,Flowers
2026,Lower,Seven,Zinnia,Summer,Flowers
2026,Lower,Six,Zinnia,Summer,Flowers
2026,Upper,Strawberry,Zinnia,Summer,Flowers
2019,Lower,Seven,Zucchini,Summer,Vegetables
2019,Upper,Apple Terrace 3,Zucchini,Summer,Vegetables
2020,Lower,Sunflower,Zucchini,Summer,Vegetables
2020,Upper,Apple Terrace 1,Zucchini,Summer,Vegetables
2022,Upper,Apple Terrace 1,Zucchini,Summer,Vegetables
2022,Upper,Apple Terrace 3,Zucchini,Summer,Vegetables
2023,Upper,Apple Terrace 1,Zucchini,Summer,Vegetables
2023,Upper,Apple Terrace 3,Zucchini,Summer,Vegetables
2024,Lower,Four,Zucchini,Summer,Vegetables
2025,Upper,Apple Terrace 1,Zucchini,Summer,Vegetables
2026,Upper,Apple Terrace 1,Zucchini,Summer,Vegetables
2020,Lower,Sunflower,Winter Rye,Fall,Cover crop
2019,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2020,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2021,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2022,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2023,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2024,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2025,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2026,Upper,Kitchen Herbs,Chamomile,Summer,Herbs
2019,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2020,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2021,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2022,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2023,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2024,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2025,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2026,Upper,Kitchen Herbs,Rhubarb,Summer,Fruit
2026,Upper,Strawberry,Snapdragon,Summer,Flowers
2026,Upper,Strawberry,Scabiosa Pincushion,Summer,Flowers
2024,Lower,Sunflower,Tomatillo,Summer,Vegetables
2025,Lower,Sunflower,Tomatillo,Summer,Vegetables
2026,Lower,Sunflower,Tomatillo,Summer,Vegetables
2023,Lower,Sunflower,Tomatillo,Summer,Vegetables
2022,Lower,One,Tomatillo,Summer,Vegetables
2021,Lower,Sunflower,Borage,Summer,Herbs
2021,Lower,Sunflower,Dill,Summer,Herbs
2024,Upper,Kitchen Herbs,Marsh mallow,Summer,Herbs
2025,Upper,Strawberry,Goji berry,Summer,Fruit
2026,Upper,Strawberry,Liatris,Summer,Flowers
2025,Lower,Eight,Gladiolus,Summer,Flowers
2026,Lower,Seven,Gladiolus,Summer,Flowers
2026,Lower,Eight,Gladiolus,Summer,Flowers
